ACTUAL_DTE,ACTUAL_DTE,latbin,lonbin,WEIGHTED_INCIDENT_SCORE,RANK
2003,1,42.295,-71.79,44,0.0763765541740675
2003,1,42.295,-71.785,2,0.0017761989342806395
2003,1,42.295,-71.78,33,0.056838365896980464
2003,1,42.295,-71.77,16,0.026642984014209593
2003,1,42.295,-71.765,10,0.015985790408525755
2003,1,42.295,-71.76,16,0.026642984014209593
2003,1,42.300000000000004,-71.85000000000001,3,0.003552397868561279
2003,1,42.300000000000004,-71.84,1,0.0
2003,1,42.300000000000004,-71.81,15,0.024866785079928955
2003,1,42.300000000000004,-71.805,8,0.012433392539964477
2003,1,42.300000000000004,-71.8,17,0.028419182948490232
2003,1,42.300000000000004,-71.79,1,0.0
2003,1,42.300000000000004,-71.785,7,0.010657193605683839
2003,1,42.300000000000004,-71.78,53,0.09236234458259325
2003,1,42.300000000000004,-71.775,43,0.07460035523978685
2003,1,42.300000000000004,-71.77,17,0.028419182948490232
2003,1,42.300000000000004,-71.765,40,0.06927175843694493
2003,1,42.305,-71.81,3,0.003552397868561279
2003,1,42.305,-71.805,13,0.021314387211367674
2003,1,42.305,-71.8,18,0.03019538188277087
2003,1,42.305,-71.795,8,0.012433392539964477
2003,1,42.305,-71.785,16,0.026642984014209593
2003,1,42.305,-71.78,7,0.010657193605683839
2003,1,42.305,-71.775,67,0.1172291296625222
2003,1,42.305,-71.77,9,0.014209591474245116
2003,1,42.31,-71.805,6,0.008880994671403197
2003,1,42.31,-71.8,13,0.021314387211367674
2003,1,42.31,-71.795,14,0.023090586145648316
2003,1,42.31,-71.785,7,0.010657193605683839
2003,1,42.31,-71.78,6,0.008880994671403197
2003,1,42.315,-71.825,1,0.0
2003,1,42.315,-71.82000000000001,5,0.007104795737122557
2003,1,42.315,-71.815,7,0.010657193605683839
2003,1,42.315,-71.805,9,0.014209591474245116
2003,1,42.315,-71.8,21,0.03552397868561279
2003,1,42.315,-71.79,43,0.07460035523978685
2003,1,42.315,-71.78,7,0.010657193605683839
2003,1,42.32,-71.81,9,0.014209591474245116
2003,1,42.32,-71.795,1,0.0
2003,1,42.32,-71.785,1,0.0
2003,1,42.325,-71.81,9,0.014209591474245116
2003,1,42.325,-71.805,9,0.014209591474245116
2003,1,42.325,-71.8,2,0.0017761989342806395
2003,1,42.325,-71.795,15,0.024866785079928955
2003,1,42.325,-71.79,1,0.0
2003,1,42.33,-71.795,7,0.010657193605683839
2003,1,42.33,-71.79,1,0.0
2003,1,42.365,-71.79,7,0.010657193605683839
2003,2,0.0,0.0,14,0.023090586145648316
2003,2,42.21,-71.8,10,0.015985790408525755
2003,2,42.215,-71.805,7,0.010657193605683839
2003,2,42.215,-71.785,9,0.014209591474245116
2003,2,42.22,-71.805,8,0.012433392539964477
2003,2,42.225,-71.805,7,0.010657193605683839
2003,2,42.225,-71.76,9,0.014209591474245116
2003,2,42.230000000000004,-71.86,1,0.0
2003,2,42.230000000000004,-71.855,14,0.023090586145648316
2003,2,42.230000000000004,-71.85000000000001,2,0.0017761989342806395
2003,2,42.230000000000004,-71.845,3,0.003552397868561279
2003,2,42.230000000000004,-71.84,1,0.0
2003,2,42.230000000000004,-71.83,1,0.0
2003,2,42.230000000000004,-71.82000000000001,7,0.010657193605683839
2003,2,42.230000000000004,-71.815,7,0.010657193605683839
2003,2,42.230000000000004,-71.81,7,0.010657193605683839
2003,2,42.230000000000004,-71.8,2,0.0017761989342806395
2003,2,42.230000000000004,-71.795,7,0.010657193605683839
2003,2,42.230000000000004,-71.79,9,0.014209591474245116
2003,2,42.230000000000004,-71.76,9,0.014209591474245116
2003,2,42.230000000000004,-71.755,7,0.010657193605683839
2003,2,42.235,-71.86,2,0.0017761989342806395
2003,2,42.235,-71.855,23,0.03907637655417407
2003,2,42.235,-71.825,14,0.023090586145648316
2003,2,42.235,-71.815,35,0.06039076376554174
2003,2,42.235,-71.81,7,0.010657193605683839
2003,2,42.235,-71.8,22,0.03730017761989343
2003,2,42.235,-71.79,14,0.023090586145648316
2003,2,42.235,-71.785,8,0.012433392539964477
2003,2,42.235,-71.775,9,0.014209591474245116
2003,2,42.235,-71.76,1,0.0
2003,2,42.235,-71.755,1,0.0
2003,2,42.235,-71.75,7,0.010657193605683839
2003,2,42.24,-71.865,16,0.026642984014209593
2003,2,42.24,-71.85000000000001,10,0.015985790408525755
2003,2,42.24,-71.845,94,0.16518650088809947
2003,2,42.24,-71.84,21,0.03552397868561279
2003,2,42.24,-71.83500000000001,15,0.024866785079928955
2003,2,42.24,-71.83,15,0.024866785079928955
2003,2,42.24,-71.825,52,0.0905861456483126
2003,2,42.24,-71.82000000000001,28,0.04795737122557727
2003,2,42.24,-71.815,24,0.04085257548845471
2003,2,42.24,-71.81,23,0.03907637655417407
2003,2,42.24,-71.805,24,0.04085257548845471
2003,2,42.24,-71.8,37,0.06394316163410302
2003,2,42.24,-71.795,43,0.07460035523978685
2003,2,42.24,-71.79,1,0.0
2003,2,42.24,-71.77,9,0.014209591474245116
2003,2,42.24,-71.765,1,0.0
2003,2,42.24,-71.76,9,0.014209591474245116
2003,2,42.24,-71.75,1,0.0
2003,2,42.24,-71.745,8,0.012433392539964477
2003,2,42.245,-71.85000000000001,1,0.0
2003,2,42.245,-71.84,23,0.03907637655417407
2003,2,42.245,-71.83500000000001,38,0.06571936056838365
2003,2,42.245,-71.83,54,0.09413854351687388
2003,2,42.245,-71.825,72,0.1261101243339254
2003,2,42.245,-71.82000000000001,22,0.03730017761989343
2003,2,42.245,-71.815,14,0.023090586145648316
2003,2,42.245,-71.81,39,0.0674955595026643
2003,2,42.245,-71.805,1,0.0
2003,2,42.245,-71.8,49,0.0852575488454707
2003,2,42.245,-71.795,9,0.014209591474245116
2003,2,42.245,-71.79,31,0.05328596802841919
2003,2,42.245,-71.785,3,0.003552397868561279
2003,2,42.245,-71.78,7,0.010657193605683839
2003,2,42.245,-71.775,93,0.16341030195381884
2003,2,42.245,-71.765,79,0.13854351687388988
2003,2,42.245,-71.76,14,0.023090586145648316
2003,2,42.25,-71.87,1,0.0
2003,2,42.25,-71.86,19,0.03197158081705151
2003,2,42.25,-71.85000000000001,4,0.0053285968028419185
2003,2,42.25,-71.845,5,0.007104795737122557
2003,2,42.25,-71.84,26,0.04440497335701599
2003,2,42.25,-71.83500000000001,31,0.05328596802841919
2003,2,42.25,-71.83,87,0.152753108348135
2003,2,42.25,-71.825,39,0.0674955595026643
2003,2,42.25,-71.82000000000001,69,0.12078152753108348
2003,2,42.25,-71.815,149,0.2628774422735346
2003,2,42.25,-71.805,76,0.13321492007104796
2003,2,42.25,-71.8,86,0.15097690941385436
2003,2,42.25,-71.795,57,0.0994671403197158
2003,2,42.25,-71.79,33,0.056838365896980464
2003,2,42.25,-71.785,95,0.16696269982238013
2003,2,42.25,-71.78,19,0.03197158081705151
2003,2,42.25,-71.775,22,0.03730017761989343
2003,2,42.25,-71.77,8,0.012433392539964477
2003,2,42.25,-71.765,9,0.014209591474245116
2003,2,42.25,-71.755,8,0.012433392539964477
2003,2,42.255,-71.855,32,0.055062166962699825
2003,2,42.255,-71.84,3,0.003552397868561279
2003,2,42.255,-71.83500000000001,10,0.015985790408525755
2003,2,42.255,-71.83,34,0.0586145648312611
2003,2,42.255,-71.825,62,0.108348134991119
2003,2,42.255,-71.82000000000001,38,0.06571936056838365
2003,2,42.255,-71.815,126,0.22202486678507993
2003,2,42.255,-71.81,151,0.2664298401420959
2003,2,42.255,-71.805,22,0.03730017761989343
2003,2,42.255,-71.8,70,0.12255772646536411
2003,2,42.255,-71.795,22,0.03730017761989343
2003,2,42.255,-71.79,63,0.11012433392539964
2003,2,42.255,-71.785,15,0.024866785079928955
2003,2,42.255,-71.78,7,0.010657193605683839
2003,2,42.255,-71.775,10,0.015985790408525755
2003,2,42.255,-71.77,7,0.010657193605683839
2003,2,42.255,-71.765,1,0.0
2003,2,42.26,-71.855,7,0.010657193605683839
2003,2,42.26,-71.83,12,0.019538188277087035
2003,2,42.26,-71.825,55,0.09591474245115453
2003,2,42.26,-71.82000000000001,164,0.2895204262877442
2003,2,42.26,-71.815,183,0.32326820603907636
2003,2,42.26,-71.81,137,0.241563055062167
2003,2,42.26,-71.805,167,0.29484902309058614
2003,2,42.26,-71.8,152,0.2682060390763765
2003,2,42.26,-71.795,14,0.023090586145648316
2003,2,42.26,-71.79,26,0.04440497335701599
2003,2,42.26,-71.785,42,0.07282415630550622
2003,2,42.26,-71.775,1,0.0
2003,2,42.265,-71.84,1,0.0
2003,2,42.265,-71.83500000000001,8,0.012433392539964477
2003,2,42.265,-71.83,7,0.010657193605683839
2003,2,42.265,-71.82000000000001,15,0.024866785079928955
2003,2,42.265,-71.815,27,0.046181172291296625
2003,2,42.265,-71.81,64,0.11190053285968028
2003,2,42.265,-71.805,203,0.35879218472468916
2003,2,42.265,-71.8,46,0.07992895204262877
2003,2,42.265,-71.795,50,0.08703374777975133
2003,2,42.265,-71.79,8,0.012433392539964477
2003,2,42.265,-71.785,37,0.06394316163410302
2003,2,42.265,-71.78,1,0.0
2003,2,42.265,-71.775,23,0.03907637655417407
2003,2,42.265,-71.77,14,0.023090586145648316
2003,2,42.27,-71.855,6,0.008880994671403197
2003,2,42.27,-71.85000000000001,1,0.0
2003,2,42.27,-71.845,16,0.026642984014209593
2003,2,42.27,-71.83500000000001,1,0.0
2003,2,42.27,-71.83,9,0.014209591474245116
2003,2,42.27,-71.82000000000001,29,0.04973357015985791
2003,2,42.27,-71.815,18,0.03019538188277087
2003,2,42.27,-71.81,45,0.07815275310834813
2003,2,42.27,-71.805,94,0.16518650088809947
2003,2,42.27,-71.8,54,0.09413854351687388
2003,2,42.27,-71.795,62,0.108348134991119
2003,2,42.27,-71.79,74,0.1296625222024867
2003,2,42.27,-71.785,23,0.03907637655417407
2003,2,42.27,-71.78,29,0.04973357015985791
2003,2,42.27,-71.775,15,0.024866785079928955
2003,2,42.27,-71.77,15,0.024866785079928955
2003,2,42.27,-71.765,9,0.014209591474245116
2003,2,42.275,-71.885,14,0.023090586145648316
2003,2,42.275,-71.855,8,0.012433392539964477
2003,2,42.275,-71.85000000000001,9,0.014209591474245116
2003,2,42.275,-71.83500000000001,17,0.028419182948490232
2003,2,42.275,-71.83,9,0.014209591474245116
2003,2,42.275,-71.815,8,0.012433392539964477
2003,2,42.275,-71.805,5,0.007104795737122557
2003,2,42.275,-71.8,30,0.05150976909413855
2003,2,42.275,-71.795,34,0.0586145648312611
2003,2,42.275,-71.79,14,0.023090586145648316
2003,2,42.275,-71.785,9,0.014209591474245116
2003,2,42.275,-71.78,1,0.0
