,Year,latbin,lonbin,WEIGHTED_INCIDENT_SCORE,RANK
131,2003,42.25,-71.85000000000001,175,0.04669887278582931
132,2003,42.25,-71.845,77,0.020397208803005905
133,2003,42.25,-71.84,259,0.06924315619967794
134,2003,42.25,-71.83500000000001,720,0.19296833064949007
135,2003,42.25,-71.83,921,0.24691358024691357
136,2003,42.25,-71.825,933,0.25013419216317767
137,2003,42.25,-71.82000000000001,1059,0.2839506172839506
138,2003,42.25,-71.815,1578,0.4232420826623725
139,2003,42.25,-71.81,426,0.11406333870101985
140,2003,42.25,-71.805,1103,0.2957595276435856
141,2003,42.25,-71.8,1289,0.345679012345679
142,2003,42.25,-71.795,1235,0.3311862587224906
143,2003,42.25,-71.79,1003,0.2689210950080515
144,2003,42.25,-71.785,948,0.2541599570585078
145,2003,42.25,-71.78,519,0.13902308105206657
146,2003,42.25,-71.775,224,0.05984970477724101
147,2003,42.25,-71.77,145,0.03864734299516908
148,2003,42.25,-71.765,143,0.038110574342458396
149,2003,42.25,-71.76,35,0.00912506709608159
150,2003,42.25,-71.755,44,0.011540526033279657
151,2003,42.25,-71.75,8,0.001878690284487386
152,2003,42.255,-71.87,31,0.008051529790660227
153,2003,42.255,-71.86,21,0.0053676865271068165
154,2003,42.255,-71.855,363,0.09715512614063339
155,2003,42.255,-71.85000000000001,53,0.013955984970477725
156,2003,42.255,-71.845,1,0.0
157,2003,42.255,-71.84,71,0.01878690284487386
158,2003,42.255,-71.83500000000001,101,0.026838432635534083
159,2003,42.255,-71.83,417,0.11164787976382179
160,2003,42.255,-71.825,1236,0.3314546430488459
161,2003,42.255,-71.82000000000001,1311,0.3515834675254965
162,2003,42.255,-71.815,1975,0.5297906602254429
163,2003,42.255,-71.81,3111,0.8346752549651101
164,2003,42.255,-71.805,673,0.18035426731078905
165,2003,42.255,-71.8,1014,0.27187332259796027
166,2003,42.255,-71.795,561,0.15029522275899088
167,2003,42.255,-71.79,886,0.23752012882447665
168,2003,42.255,-71.785,530,0.1419753086419753
169,2003,42.255,-71.78,386,0.10332796564680623
170,2003,42.255,-71.775,119,0.03166935050993022
171,2003,42.255,-71.77,231,0.06172839506172839
172,2003,42.255,-71.765,96,0.02549651100375738
173,2003,42.255,-71.76,39,0.010198604401502952
174,2003,42.255,-71.755,23,0.005904455179817498
